start	end	text
0	8480	I can either say that my energy of the electron is minus E times E, because the electron charge is negative,
9100	13460	or I can say, okay, I'm going to forget about that negative sign, because it creates a mess for me,
14000	15900	and I'm going to just write it as E times E.
16660	19740	In semiconductors, we follow the E times E convention.
20740	28000	I don't know of a single textbook or a published piece of scientific literature where people do it the other way around.
28000	30860	But the connection band is drawn at the bottom.
31560	36920	The reason is that we generally associate higher energies with anti-bonding orbitals.
37080	38020	We just learned about that.
41260	51460	And since we actually associate that, we want to retain the idea of electrons being promoted to higher energy levels
51460	54000	as the system being in a higher energy state altogether.
55540	58000	So the convention in some sense is forced.
58000	59180	It comes from that natural requirement.
59720	61620	But there's nothing special about that convention.
62120	66260	It is just that this convention is so universal that it basically becomes a protocol.
67740	68080	Okay.
69960	74520	I locate the top of the Willans band at E equal to zero.
75600	82220	If I draw my band diagram now for real silicon, to that dashed line that you had,
85360	87600	my Willans band energy,
88000	92000	would be constant as a function of R.
92000	94000	Why?
94000	98000	I am in the middle of the bulk silicon, right?
98000	101000	My band gap should not change.
101000	103000	I'm inside the same material.
103000	105000	Would you put X mark over here?
105000	106000	Hm?
106000	107000	You are pulling an X mark over here.
107000	109000	I'm just giving you one part of it.
109000	111000	You'll see how radically different this is.
111000	112000	Sure.
112000	113000	Yeah.
113000	118000	So can we say that when I am having, say, in a continuous space,
118000	120000	I have two atoms, A and B,
120000	123000	even if I am changing their relative distance,
123000	130000	A and B and all such atoms exist at a distance that nature intended them to.
130000	131000	Yes.
131000	134000	So that means that distance is now fixed at five amps from the surface area.
134000	138000	So when we are actually varying R, we are just actually changing the reference at the end.
138000	141000	The coordinate of the electron that is free to move around.
142000	144000	That's the purpose of this particular part.
144000	147000	So R is the position of electron relative to the atoms?
147000	150000	Any arbitrarily chosen atom.
150000	153000	Because R equals zero in this case is not special.
153000	155000	It's somewhere in the semiconductor.
155000	160000	So where do we get to draw this diagram for ?
160000	165000	Well, it's useful for calculating electron energies because that's all that we are doing here.
165000	168000	So how do the electron energies distribute themselves?
168000	170000	Both this and this .
170000	173000	But there are different complementary pictures of that.
173000	175000	That's the question.
175000	176000	Okay.
176000	178000	So band-iron, yes.
178000	182000	Atom, you are talking about real silicon here.
182000	186000	We are looking at the R coordinate of the electron.
186000	188000	An electron that is free to move around.
188000	191000	Now if it is in the valence band, it's not free to move around.
191000	193000	It has the same energy no matter where you go in it.
193000	195000	Yes.
195000	197000	That is completely different from that.
197000	199000	That R is different from this R.
199000	200000	This is real silicon.
200000	204000	That was real silicon along a line and then all possible mathematical possibilities of that silicon.
204000	210000	There was a distance between the two silicon atoms.
210000	212000	Here is the position vector of the electron.
212000	216000	Is the position vector of the electron chosen from some other starting point?
216000	218000	Okay.
218000	222000	So the energy that I need to remain in the valence band,
222000	227000	the highest energy at which I remain in the valence band is the same regardless of where I am in the bulb.
227000	228000	Right?
228000	230000	That's my bonding energy.
230000	232000	Similarly, the energy,
232000	236000	the minimum energy at which the electron becomes free to move
236000	240000	is also the same regardless of where you are in the bulb.
240000	243000	So the band diagram is actually pretty simple.
243000	246000	It's two parallel lines.
246000	249000	Everybody understood that?
249000	251000	So can you explain the top line?
251000	253000	This is E C.
253000	255000	This is E V.
255000	260000	But you said that E C varies as we go higher and higher in the conduction band.
260000	262000	So there will be some bands here but we are not showing them.
262000	266000	We are showing the lowest possible energy where the electron can become free.
266000	268000	This is the band gap.
268000	274000	This distance is the band gap.
274000	279000	Any electron which is deeper in the bulb would have to go higher.
279000	281000	It would have to pick up more energy or move more.
281000	286000	Why don't we show the valence band and which is more negative,
286000	288000	the deeper we go into the valence band?
288000	290000	Yes.
290000	292000	So within the bulb,
292000	294000	for the electron is more or less the same.
294000	295000	That is what this diagram is.
295000	296000	That is the definition of bulk is.
296000	298000	Yes, so that is what the diagram is.
