start	end	text
0	8620	Okay. So packaging and the fact that it
8620	16760	is the highest value in some sense,
16760	22720	what we are teaching in this class is
22720	24600	only what I would call
24600	27980	20 percent of the overall amount of materials.
27980	31220	This is not to say that this is just
31220	37140	some pre-designed bug that we just use as a standard package.
37960	43420	Packaging is used to be considered like an art in itself,
43420	47980	but now increasingly because of the heat issues,
47980	50260	people no longer speak about
50260	52780	integrated software in the package separately.
52780	56360	Instead, they talk about packaging of systems.
56480	57980	That means that
57980	64380	heat core design or thermal core design has to be a part of the IC design process itself.
64380	67300	Unfortunately, as far as I know,
67300	71340	only one course in any of the IITs in India,
71340	75960	IIT Bombay, actually teaches IC design in that way.
75960	79500	Even our VLSI design program over here,
79500	82840	talks about IC design in isolation more or less.
82840	85960	It doesn't make all the grammars. Can I help you?
85960	86960	Yes, please.
86960	87960	Okay.
87980	91260	See, if you can send all the stuff together at one point,
91260	92060	I'll be able to help you.
92060	94440	But if you keep coming every five minutes to interrupt me,
94440	95440	that's not really the problem.
95440	97540	Please, please, please don't.
98560	106540	So, the issue is that this kind of
106540	109480	fragmented knowledge forces people to take
109480	113460	electives in domains that they don't consider their own.
113460	116860	For instance, mechanical engineering has a big input here because heat transfer is
116860	117940	a central part of
117980	119220	that study.
119220	125520	As a part of the ISN-India's Immigration Commission,
125520	128340	the most publicly publicized part of this is
128340	131100	for me and I, could probably participate in initiative.
131100	135880	Which can also be a part of .
135880	142880	So, one of the lift well know concepts,
142880	144980	they have a lot of people going there.
144980	146040	I will try to figure out something out for you.
146040	146660	They remain at least one guysbelen beras in compliance with theceeding.
146660	146920	I would like to ask you that question recordings there.
146920	146980	Yes. Yes. Yes. Yes. No problem.
146980	147040	Okay. Thank you.
147040	147060	Yes.
147080	147220	Yes Puwał...
147220	147240	Yes. Yes. Yes. Yes followed by the Infrastructure Again.
147240	147620	Okay. Yes. Yes. Yes. Uh...black background and one of the rest publications
147620	147780	who is actually going there too?
147780	157780	I know parts of activism are even in the whole education system when it comes to this part of technology research and development.
157780	166780	And there, certain new VTech or MTech programs are going to be offered in a few years,
166780	171780	which are entirely geared about taking elements of various traditional practices of engineering
171780	177780	and offering them as, you know, semiconductor devices or something like that.
177780	184780	So this packaging issue is not just something that you can learn later on your own.
184780	190780	I recommend that if you are interested in going into this field, start looking for corresponding electives,
190780	195780	because you will not have the time to learn heat transfer from scratch after you've completed your VTech,
195780	200780	or you're late into your MTech, etc. It's just one of the matters.
200780	201780	Then we shall come back to this.
201780	204780	We'll start it, resume our discussion.
204780	206780	This part was prompted by a student question.
206780	214780	But then we resume our discussion on what happens to carrier wave functions in various kinds of materials,
214780	219780	starting from the understanding that only in a perfectly periodic crystal do you have black-hot scattering.
219780	223780	In any room temperature case, you will not have a perfect crystal.
223780	230780	You will have vibrations, which give rise to virtual particles known as phonons.
230780	236780	In a second quantization sense, interact with carriers, and that leads to scattering.
236780	246780	We defined an R-space, which is easy enough to understand, in one dimension, two dimensions, and three dimensions.
246780	252780	But there is a dual space to that, which arises from Fourier transforms, which is also periodic.
252780	259780	And if you are starting in the Bravais lattice, one of those 14 lattices,
259780	264780	then its dual space is known as a reciprocal lattice.
264780	268780	And the reciprocal lattice is guaranteed to be also a Bravais lattice.
268780	274780	Of course, there is no guarantee that Bravais lattice A maps into reciprocal lattice A.
274780	282780	It could be B, where B is also a set of initial Bravais lattices that we started with.
282780	284780	Then we had a simple class problem.
284780	288780	We defined planes, classes of planes.
288780	293780	We defined families of planes which are parallel to each other, or depending upon the nature of symmetry.
293780	297780	They may even be orthogonal, but they have the same symmetry in that direction.
297780	305780	The practical influence of understanding of planes is that it allows you to
305780	311780	please wafers without actually shattering them and losing a lot of material,
311780	317780	and also causing edge issues, because you want to use the entire real estate as much as possible.
317780	320780	We defined waferents in real space, corresponding to that,
320780	325780	because of the relationship between the periodicity r and the periodicity k,
325780	332780	is that if ikr, essentially, is equal to a constant, or 1, depending on your normalization,
332780	335780	is also a waferent.
335780	337780	So if r is a waferent, k is also a waferent.
337780	340780	That's the property of plane waves.
340780	346780	Then we formally defined the reciprocal lattice, and we expanded on the Fourier part.
347780	351780	Let's today connect this more to crystallography.
351780	355780	You've all seen Miller's analysis? Have you?
355780	357780	No.
357780	363780	So those of you who did coordinate geometry, and I think it was all of you in 11th grade,
363780	367780	you know how to write down the equation of a plane, right?
367780	373780	One of the canonical forms of the equation of a plane is a dot n equal to a constant, right?
373780	376780	Which is also the biggest discussion.
377780	383780	So, Miller indices, in that sense, are an exercise in finding the normal to the plane.
383780	387780	As long as you can write the normal to the plane, which is the equation of the plane effectively,
387780	390780	you can figure out where the indices are.
390780	397780	So, the area vector for a plane is picked to be parallel to the shortest reciprocal lattice vector.
397780	405780	So notice that, in coordinate geometry, the direction that is perpendicular to the plane is also in r3.
405780	406780	Right?
406780	410780	So, if you're starting with a plane arbitrarily oriented in r3,
410780	413780	then the vector that is perpendicular is also in r3.
413780	416780	But here we're making a departure from that.
416780	421780	We're saying that if you have a plane in real space,
421780	429780	then its vertical is a point in reciprocal space which has a k-position vector.
429780	432780	It's just a change of terminology. That is all there.
432780	434780	Let me repeat.
434780	438780	If you have a plane which is arbitrarily oriented in r3,
438780	440780	I find it's normal.
440780	444780	The coordinates, which is basically a triplet,
444780	449780	is a point in k-space.
449780	450780	Same coordinates.
450780	452780	So, let's say 3, 1, 5.
452780	457780	Those are coordinates in k-space for the dual vector.
457780	460780	So, if you have a plane in this direction, it maps to a point.
460780	462780	A position vector, to be more precise.
462780	463780	Yes?
463780	467780	You're taking the normal to that plane and then mapping it to a point in k-space.
467780	470780	You're just taking those coordinates and we will describe,
470780	473780	because obviously people who work in crystallography
473780	476780	are not very comfortable with working on Fourier analysis.
476780	478780	So, they have their own way of arriving at the same thing,
478780	481780	which I'll describe how to construct a Miller index.
481780	483780	It is essentially the same process.
483780	485780	If you have done a little bit of linear algebra,
485780	487780	which I believe you have done,
487780	488780	you can work out the steps and you'll say,
488780	490780	okay, yeah, these two treatments are exactly equivalent.
490780	491780	Sir, but for a plane like,
491780	493780	we can't only depend on one model vector.
493780	494780	We should also have a point, right?
494780	496780	So, we will have to consider that when doing this.
496780	497780	Which point?
497780	499780	Meaning, if you have a normal vector,
499780	501780	infinite planes which have a normal vector.
501780	502780	Yeah.
502780	504780	So, all you say is that if I define its normal vector,
504780	507780	any normal which is a scalar multiple of that normal vector
507780	509780	will also serve as a normal vector.
509780	511780	What we're trying to find over here is the minimum normal vector.
511780	513780	But I'm telling you that if there are infinite planes
513780	514780	for the same normal vector, right?
514780	515780	Yes, yes, yes.
515780	519780	So, this basically goes back to our previous discussion,
519780	523780	where families of planes corresponded to a single point in k-space.
523780	524780	Okay.
524780	526780	So, how do you construct a family of planes
526780	528780	that are all parallel to each other?
